token_pair,seven_day_volume,thirty_day_volume,all_time_volume,break_1,fee_rate,all_time_fees,tokenA_fees,tokenB_fees,break_2,lps,tvl,tokenA_balance,tokenB_balance,tokenA_price,tokenB_price
<nil>,2.3868662427510732e+08,2.462727722636201e+09,8.323104868464138e+11,|,<nil>,8.744189918685807e+06,5.7406398742286766e+13,6.484532792500659e+13,|,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>
"USDC-RETIR<a href=""https://solscan.io/address/FPz8ddmguZDYx6d8FKgGW4QvfzgSnyGnhkNiWQobbDcm"" target=""blank""> (FPz8...) </a>",43.518425912918005,2.8048820159316096e+09,2.911906721628347e+09,|,1e-06,2911.9067216283484,2910.542378365162,165.1892847708504,|,<nil>,53.876498810624,53.864864000000000000,161105.879148000000000000,1.000216,<nil>
"SOL-MSOL<a href=""https://solscan.io/address/HQcY5n2zP6rW74fyFEhWeBd3LnJpBcZechkvJpmdb8cx"" target=""blank""> (HQcY...) </a>",1.1582942201520825e+07,9.880655517734987e+07,2.79378839300495e+09,|,0.0001,279378.8393004651,5743.267521993882,5242.632071109875,|,2850,882384.6370228947,2638.788582175000000000,1443.927697866000000000,197.63,249.93
"SOL-JUPSO<a href=""https://solscan.io/address/DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg"" target=""blank""> (DtYK...) </a>",1.1025219264304256e+08,6.504091745378141e+08,2.7647976667528853e+09,|,0.0001,276479.76667529385,1538.853505501455,1475.6475253862714,|,503,2.1973127611994673e+06,1925.105031513000000000,9915.161830504000000000,197.63,183.24
"WEAVE-USDC<a href=""https://solscan.io/address/5TQF6XxgT444dLQZh6ntVKYz1yZN9W5LBjZ34RBZy8th"" target=""blank""> (5TQF...) </a>",0,0,2.74383275518987e+09,|,1e-06,2743.832755189868,69.07686901212708,2745.6350473127122,|,<nil>,0.000378081648,0.000406000000000000,0.000378000000000000,<nil>,1.000216
"BONK-USDC<a href=""https://solscan.io/address/9Brj8VjGn1a6ZaSupnS3q6UfU9zwD8einKqjkuUPeekk"" target=""blank""> (9Brj...) </a>",314.06682252539997,1899.9900510294017,2.599608432085253e+09,|,1e-06,2599.608432085241,9336.54253968126,2599.277781602561,|,<nil>,321.3765207322964,9334147.438030000000000000,161.914309000000000000,1.708e-05,1.000216
"SOL-BSO13<a href=""https://solscan.io/address/8phK65jxmTPEN158xLgSr4oZvssw9SyTErpNZj3g7px4"" target=""blank""> (8phK...) </a>",2.1372480254780773e+07,1.1064555110287514e+08,2.534874158230371e+09,|,0.0001,253487.41582306605,2077.476647407604,1863.8447632885777,|,2834,2.4420539845216824e+06,4362.863271477000000000,6740.714750948000000000,197.63,234.37
"MET-USDC<a href=""https://solscan.io/address/3q66iEEE6vWBfuwxcz6HbmJpsqzAH5htteexPSoTkCUV"" target=""blank""> (3q66...) </a>",16.776816049477002,186.64358498755195,2.4711850934311523e+09,|,1e-06,2471.1850934311537,8.685537730180993,2470.8102479377417,|,<nil>,32.258305289224005,44661.738960000000000000,32.251339000000000000,<nil>,1.000216
"3TDDS-USDC<a href=""https://solscan.io/address/weBhQP9PUDEwSsMkD2Sg8hhWdR65fCPmQHoYKDGr4iR"" target=""blank""> (weBh...) </a>",0,2.439840619608324e+09,2.439840619608324e+09,|,1e-06,2439.8406196083233,4.895780112956194,2439.5587130351173,|,<nil>,0.000438094608,0.000000492000000000,0.000438000000000000,<nil>,1.000216
"SOL-WBTC<a href=""https://solscan.io/address/B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA"" target=""blank""> (B5Ew...) </a>",1.909278060074421e+08,6.858807918373704e+08,2.416573456300388e+09,|,0.0005,1.2082867281501752e+06,6059.798026940914,14.311223880786162,|,3089,4.767369922946499e+06,18631.698817013000000000,11.373370320000000000,197.63,95414.75
"A2KHR-USDC<a href=""https://solscan.io/address/8QsrVhfo3jXcGoUCvE1Q46Twjz8GUHvKg1jMHmMNForA"" target=""blank""> (8Qsr...) </a>",0,1.4549552229285967e+09,2.3574834599488935e+09,|,1e-06,2357.483459948895,119.04386478946807,2357.206953056801,|,<nil>,0.00038008208,0.000438000000000000,0.000380000000000000,<nil>,1.000216
