week,blockchain,volume_usd,traders
2024-03-11T00:00:00Z,zksync,9.291016163324037e+08,569356
2022-11-14T00:00:00Z,ethereum,1.125832381770844e+10,101769
2023-08-07T00:00:00Z,zkevm,8.719219177830962e+06,19500
2024-05-20T00:00:00Z,gnosis,3.1560469384024203e+07,2505
2025-01-27T00:00:00Z,flare,1.6195547466468971e+07,585
2022-09-05T00:00:00Z,nova,829300.2593670834,4048
2024-06-24T00:00:00Z,scroll,1.4749689498308352e+08,108651
2024-10-07T00:00:00Z,scroll,1.3391034531821102e+08,68597
2023-02-20T00:00:00Z,avalanche_c,4.779050850936595e+08,23065
2024-05-20T00:00:00Z,avalanche_c,4.186983916917219e+08,13354
2024-05-27T00:00:00Z,nova,264386.6553837311,2393
2025-01-13T00:00:00Z,fantom,2.6317016093299218e+07,11423
2023-10-09T00:00:00Z,mantle,1.9380944651868388e+07,9373
2025-01-20T00:00:00Z,ethereum,2.262964132186036e+10,80194
2024-07-29T00:00:00Z,sei,2.717555833045139e+07,16523
2023-08-21T00:00:00Z,zkevm,6.378488014972772e+06,10533
2024-10-07T00:00:00Z,fantom,6.546519585766682e+07,40214
2024-09-23T00:00:00Z,mantle,4.915591862854411e+07,4808
2023-06-12T00:00:00Z,zksync,2.939456114173083e+08,423323
2023-10-16T00:00:00Z,celo,4.697868793754035e+06,2089
2024-04-01T00:00:00Z,mantle,1.2566234762944779e+08,7182
2022-09-19T00:00:00Z,arbitrum,4.826428674960133e+08,42876
2023-11-20T00:00:00Z,ronin,3.0639060839693833e+07,9041
2024-04-08T00:00:00Z,celo,7.373788473838644e+07,5349
2024-12-09T00:00:00Z,zora,484106.3872816272,2903
2023-05-22T00:00:00Z,ronin,1.5170940215181313e+07,12441
2024-04-22T00:00:00Z,base,3.5781697906084495e+09,217647
2022-08-08T00:00:00Z,bnb,2.399846189353291e+09,701446
2024-12-16T00:00:00Z,zksync,6.76299940164625e+07,6415
2023-04-10T00:00:00Z,arbitrum,4.0435394743893795e+09,147394
2024-08-26T00:00:00Z,linea,1.5099648806836277e+08,8956
2023-10-23T00:00:00Z,polygon,9.154980053327081e+08,56873
2024-06-10T00:00:00Z,arbitrum,5.614739034511803e+09,57225
2024-06-03T00:00:00Z,base,4.102715700157467e+09,359026
2024-08-05T00:00:00Z,bnb,5.200187725465752e+09,400335
2024-09-23T00:00:00Z,arbitrum,3.006120597349428e+09,42554
2025-02-10T00:00:00Z,zora,52666.7987542293,716
2024-07-22T00:00:00Z,celo,7.494251483110766e+07,906
2023-05-08T00:00:00Z,gnosis,856757.2282137185,1863
2022-11-14T00:00:00Z,avalanche_c,2.2171495600242475e+08,17154
2024-11-11T00:00:00Z,gnosis,4.594843991656475e+07,2937
2024-12-30T00:00:00Z,corn,166923.11867527512,44
2024-06-17T00:00:00Z,ethereum,1.1708733422505613e+10,102721
2024-12-02T00:00:00Z,mantle,7.642446631288943e+07,37267
2024-07-15T00:00:00Z,kaia,1.4622254964346612e+07,749
2024-07-29T00:00:00Z,bnb,4.547728448960424e+09,391868
2022-10-03T00:00:00Z,fantom,3.9822433882786945e+07,14000
2023-02-20T00:00:00Z,ethereum,1.056896153258288e+10,117347
2023-06-12T00:00:00Z,polygon,6.726818046646936e+08,123912
2024-07-15T00:00:00Z,ronin,3.9849436617882125e+07,8616
2024-06-17T00:00:00Z,nova,223690.22508827463,1557
2023-01-30T00:00:00Z,bnb,2.499579641350039e+09,601912
2024-06-24T00:00:00Z,zksync,1.0936574275832088e+08,94828
2023-11-13T00:00:00Z,kaia,432297.0902725664,1118
2022-11-14T00:00:00Z,gnosis,824328.6475115011,1464
2023-09-11T00:00:00Z,celo,3.8869749474305883e+06,3364
2023-09-04T00:00:00Z,mantle,1.725489772777605e+07,10308
2022-11-07T00:00:00Z,avalanche_c,5.764284118399284e+08,16654
2024-08-05T00:00:00Z,ethereum,2.0069769140429935e+10,103214
2023-09-25T00:00:00Z,arbitrum,1.0597015851060209e+09,52532
2023-03-13T00:00:00Z,ethereum,2.2562878430209343e+10,125285
2024-08-26T00:00:00Z,base,3.5978024895552483e+09,1.952867e+06
2022-08-29T00:00:00Z,bnb,1.9683014470420787e+09,591303
2025-02-03T00:00:00Z,polygon,9.146325936183044e+08,105558
2024-05-06T00:00:00Z,polygon,6.933078802450626e+08,55085
2023-02-27T00:00:00Z,ronin,1.1892501063456189e+07,9932
2023-12-11T00:00:00Z,fantom,4.0841122891609155e+07,16893
2023-08-14T00:00:00Z,mantle,4.290204539338912e+07,3107
2023-03-13T00:00:00Z,nova,2.0117543695060336e+06,9113
2023-07-24T00:00:00Z,optimism,3.2532918274808276e+08,115114
2022-12-19T00:00:00Z,polygon,4.086756330379905e+08,66409
2024-02-26T00:00:00Z,mantle,1.6840403022875983e+08,9802
2023-05-15T00:00:00Z,bnb,3.949201736230359e+09,643742
2024-02-26T00:00:00Z,arbitrum,5.105302964437621e+09,66160
2023-06-05T00:00:00Z,fantom,5.076055451979319e+07,14220
2024-11-18T00:00:00Z,worldchain,9.561703464719668e+06,70518
2022-08-01T00:00:00Z,gnosis,1.9382324489740294e+06,1493
2024-07-01T00:00:00Z,arbitrum,4.056383233969855e+09,60516
2024-01-15T00:00:00Z,nova,767714.6935837516,10813
2024-06-10T00:00:00Z,gnosis,1.934967797529949e+07,2501
2023-03-27T00:00:00Z,kaia,569894.0068751505,2166
2023-01-09T00:00:00Z,gnosis,752213.5867170433,1461
2023-03-13T00:00:00Z,polygon,1.5431097777686925e+09,89308
2024-12-02T00:00:00Z,sei,7.961987949512672e+07,1970
2023-02-06T00:00:00Z,polygon,1.2660413831242008e+09,72391
2025-01-06T00:00:00Z,base,1.2485818342283512e+10,2.799234e+06
2023-03-27T00:00:00Z,arbitrum,5.468941198774624e+09,159284
2023-06-05T00:00:00Z,ronin,2.671302002107003e+07,12329
2024-01-15T00:00:00Z,polygon,7.98168007312623e+08,72549
2023-08-14T00:00:00Z,arbitrum,1.4892649886547847e+09,67838
2022-07-11T00:00:00Z,avalanche_c,2.963147906975739e+08,22166
2024-05-27T00:00:00Z,ronin,4.176377798301068e+07,8957
2023-06-19T00:00:00Z,ethereum,8.96984662525051e+09,142227
2024-09-02T00:00:00Z,optimism,5.136668265526868e+08,80871
2023-09-18T00:00:00Z,base,3.2105427408036375e+08,39399
2023-07-24T00:00:00Z,zkevm,6.647584453661256e+06,14901
2023-04-24T00:00:00Z,nova,6.008513515011266e+06,17030
2023-05-22T00:00:00Z,zkevm,4.91656938563457e+06,8093
2024-10-28T00:00:00Z,blast,7.345240812173395e+07,4390
2024-08-05T00:00:00Z,celo,1.2750046232361013e+08,1047
2024-09-09T00:00:00Z,ronin,1.3126310765851844e+07,7312
2024-10-28T00:00:00Z,zkevm,3.6087854632997755e+06,1497
2024-12-09T00:00:00Z,worldchain,1.378036160002085e+07,75059
2024-05-13T00:00:00Z,bnb,4.483500327276829e+09,428463
2023-06-26T00:00:00Z,gnosis,895445.9183101859,2914
2023-11-13T00:00:00Z,scroll,9.936123936947547e+06,33697
2025-01-20T00:00:00Z,mantle,9.182175584061761e+07,5011
2023-01-30T00:00:00Z,avalanche_c,4.769314022880713e+08,14288
2023-10-16T00:00:00Z,nova,2.6224806851420966e+06,10359
2023-01-09T00:00:00Z,nova,933373.5343966659,5872
2023-04-17T00:00:00Z,zkevm,1.095752934856766e+06,1085
2024-09-09T00:00:00Z,ethereum,8.107435899923318e+09,106646
2024-11-18T00:00:00Z,mantle,8.289182789449963e+07,4853
2024-06-10T00:00:00Z,bnb,4.985684907860071e+09,400179
2024-11-18T00:00:00Z,kaia,9.860991082009065e+07,1415
2023-05-08T00:00:00Z,arbitrum,3.609647012479366e+09,153978
2023-06-19T00:00:00Z,celo,4.683913390715995e+06,4553
2024-07-08T00:00:00Z,zkevm,1.0675926348499207e+07,3208
2024-04-22T00:00:00Z,linea,2.1461748589617288e+08,17910
2024-08-26T00:00:00Z,flare,701902.9271195573,396
2023-03-13T00:00:00Z,zksync,0,3
2022-10-17T00:00:00Z,bnb,1.485892158826105e+09,550240
2024-04-01T00:00:00Z,arbitrum,4.1034670177164407e+09,102306
2024-10-28T00:00:00Z,ronin,2.4920997368216872e+07,6656
2024-12-16T00:00:00Z,blast,1.758726072766696e+08,3156
2023-01-30T00:00:00Z,optimism,5.724762179865142e+08,27556
2024-01-01T00:00:00Z,zksync,5.930706076065918e+08,514666
2024-01-29T00:00:00Z,linea,6.71592604428723e+06,6048
2023-04-24T00:00:00Z,ronin,1.3873594724752696e+07,12507
2025-01-13T00:00:00Z,zkevm,7.572236214925272e+06,524
2022-08-08T00:00:00Z,nova,366777.738428541,6878
2024-05-20T00:00:00Z,base,4.525280034751561e+09,211462
2024-01-29T00:00:00Z,arbitrum,2.1721394190020185e+09,74095
2024-03-25T00:00:00Z,avalanche_c,8.642962204390763e+08,39563
2022-07-18T00:00:00Z,bnb,2.5180106468857946e+09,691628
2024-06-03T00:00:00Z,polygon,8.15433936421434e+08,62215
2024-02-19T00:00:00Z,fantom,2.3944412439738005e+07,9114
2024-10-14T00:00:00Z,linea,1.0488463951440881e+08,7040
2023-10-02T00:00:00Z,gnosis,5.563031336651557e+06,1938
2024-07-15T00:00:00Z,nova,190108.2651719538,913
