project,_col1,usd_volume
alienbase,2025-01-13 00:00:00.000 UTC,1.627997172535249e+06
pharaoh,2024-11-25 00:00:00.000 UTC,2.4338820382029793e+08
thruster,2024-08-26 00:00:00.000 UTC,1.1830328736325285e+08
apeswap,2025-01-20 00:00:00.000 UTC,8.055222527147237e+06
arbswap,2025-02-03 00:00:00.000 UTC,18739.695300839358
scale,2024-04-08 00:00:00.000 UTC,3.612035605840305e+06
jelly_swap,2024-09-30 00:00:00.000 UTC,5.180821044614539e+06
trader_joe,2024-05-13 00:00:00.000 UTC,3.91750387131372e+08
clipper,2024-12-09 00:00:00.000 UTC,1.0590485804547772e+06
zipswap,2024-09-30 00:00:00.000 UTC,5404.949136028458
agni,2024-12-02 00:00:00.000 UTC,5.471152538141543e+07
valantis,2024-09-09 00:00:00.000 UTC,2.0144203287884488e+06
ellipsis_finance,2024-02-19 00:00:00.000 UTC,394305.9449624361
thena,2024-04-29 00:00:00.000 UTC,2.0531687041022706e+08
moonbase,2025-02-03 00:00:00.000 UTC,59.166738707160015
dragon_swap,2024-09-09 00:00:00.000 UTC,1.1813891419445012e+07
velocore,2024-10-07 00:00:00.000 UTC,6044.600343012393
citadelswap,2024-03-18 00:00:00.000 UTC,69010.65913724585
flashliquidity,2024-03-04 00:00:00.000 UTC,43.26066593688185
dfyn,2024-08-19 00:00:00.000 UTC,447469.0720573782
throne_exchange,2024-09-09 00:00:00.000 UTC,14.384905247222576
sharkyswap,2024-03-18 00:00:00.000 UTC,783.0132205805144
openxswap,2024-08-12 00:00:00.000 UTC,253.34904715598935
sushiswap,2024-12-23 00:00:00.000 UTC,2.1680753085673776e+08
glacier,2024-12-30 00:00:00.000 UTC,955.8881359053306
glacier,2025-01-20 00:00:00.000 UTC,1859.7152243225598
nuri,2024-06-17 00:00:00.000 UTC,5.157397021611168e+07
zkswap_finance,2024-04-15 00:00:00.000 UTC,3.9257156092872374e+07
katana,2024-06-17 00:00:00.000 UTC,3.686679460953575e+07
woofi,2024-07-01 00:00:00.000 UTC,5.942200272395029e+07
mdex,2024-05-06 00:00:00.000 UTC,4.0834297165109823e+06
uniswap,2024-12-09 00:00:00.000 UTC,2.665412631757263e+10
equalizer,2024-09-30 00:00:00.000 UTC,5.461856126058272e+06
honeyswap,2024-02-26 00:00:00.000 UTC,3.1017901908891476e+06
spookyswap,2024-12-16 00:00:00.000 UTC,1.7538190012285963e+07
dragon_swap,2024-03-25 00:00:00.000 UTC,1.6445096720741602e+07
otsea,2025-01-06 00:00:00.000 UTC,10902.47635797001
dracula_finance,2025-01-13 00:00:00.000 UTC,1278.6678753304252
pharaoh,2024-06-24 00:00:00.000 UTC,1.805034350948027e+07
spookyswap,2024-07-15 00:00:00.000 UTC,6.388719984949862e+06
blazeswap,2024-09-02 00:00:00.000 UTC,3186.7945547084305
dfyn,2024-02-26 00:00:00.000 UTC,2.6598758893103823e+06
spiritswap,2024-08-12 00:00:00.000 UTC,790242.2574510764
wombat,2024-11-18 00:00:00.000 UTC,367207.4546908565
mdex,2024-03-04 00:00:00.000 UTC,2.6644944361159798e+07
xchange,2024-03-04 00:00:00.000 UTC,2953.80840947988
ramses,2024-10-07 00:00:00.000 UTC,7.543508252813685e+07
mento,2025-01-27 00:00:00.000 UTC,1.1374610605727208e+08
dackieswap,2024-12-16 00:00:00.000 UTC,1.0021987237839277e+06
spacefi,2024-08-12 00:00:00.000 UTC,463325.1477867616
fraxswap,2024-04-15 00:00:00.000 UTC,1.4324205017436286e+07
fraxswap,2024-04-01 00:00:00.000 UTC,1.1793899731317801e+07
throne_exchange,2024-11-11 00:00:00.000 UTC,25.48150979770613
rcpswap,2024-04-29 00:00:00.000 UTC,230399.82451291732
zipswap,2024-03-25 00:00:00.000 UTC,9716.03644527607
0x-API,2024-09-02 00:00:00.000 UTC,2.2790425834196013e+08
plantbaseswap,2024-08-05 00:00:00.000 UTC,0.156425242606
neopin,2024-10-14 00:00:00.000 UTC,145590.63646212546
beets,2025-01-27 00:00:00.000 UTC,7.104749004960979e+06
chronos,2024-08-26 00:00:00.000 UTC,14647.739048698859
wombatexchange,2024-11-25 00:00:00.000 UTC,13850.753088386478
klay_swap,2024-09-02 00:00:00.000 UTC,3.186047936411397e+06
neopin,2024-04-22 00:00:00.000 UTC,225204.607062039
infusion,2024-03-11 00:00:00.000 UTC,1.7102984060113009e+06
equalizer,2024-12-23 00:00:00.000 UTC,9.974975431590497e+06
