product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
Contango V2,2.8141514285714286e+06,2.6104673333333335e+06,1.9524873666666667e+06,0.21489225550020918,1.1720810633071026,-0.677281710159533,0.0002964123866718081,0.00019675649320762643,0.00017554810735700803,0.0,0.0,0
Perennial V2,2.572231e+06,1.0175549666666667e+06,1.364081088888889e+06,6.773231040744062,-0.42510905153390605,-0.823613163824511,0.00027093109561920626,7.669528912728648e-05,0.00012264450849930266,0.0,0.0,0
GMX V1,2.510321285714286e+06,9.995212733333332e+06,1.0806346844444444e+07,-0.7885776240234788,0.25033380929653276,0.1760332669149515,0.00026441019344482903,0.0007533605117991188,0.0009715984688926616,0.0,0.0,0
IDEX V4,2.411527e+06,4.461864366666666e+06,5.540486144444444e+06,-0.41587455961403896,-0.28100153267996525,0.34102191271888516,0.0002540042679779917,0.0003363002381770468,0.000498145019066337,0.0,0.0,0
Defx,2.0553334285714286e+06,767606.6333333333,502843.4888888889,1.2892863979256082,0.6158484113206646,0.24783667183217328,0.00021648667544463805,5.785614989662604e-05,4.521064990138262e-05,0.0,0.0,0
Levana Perps,2.025074142857143e+06,3.3214087e+06,5.316878344444444e+06,-0.3196401304035334,-0.38601760143581365,0.3075709975543192,0.00021329948835637652,0.00025034166104152285,0.0004780404454079273,0.0,0.0,0
IPOR Derivatives,1.7655757142857143e+06,1.1525058333333333e+06,1.7142360444444444e+06,0.6268911461215608,-0.002321757929308861,-0.9720626025707695,0.00018596672020129267,8.686682391020145e-05,0.00015412693485394608,2.4965665250341615E-1,0.0,7.072015492403333e+06
TLX Finance,1.5877002857142857e+06,1.7408827333333334e+06,2.857268111111111e+06,-0.21902572424337968,-0.4420328721719428,1.9734683467092355,0.00016723123931073773,0.0001312140463596585,0.0002568969293631907,0.0,0.0,0
Pear Protocol,1.300601e+06,2.429351966666667e+06,1.9833392666666666e+06,-0.5193584996723909,0.8966357822058415,-0.29744117953749705,0.00013699129428633558,0.00018310544155250257,0.00017832200118384183,0.0,0.0,0
basedmarkets,1.0769002857142857e+06,1.1616844333333333e+06,1.3968009444444445e+06,-0.08853580436878308,-0.03659668567790318,-0.26864744286392,0.00011342907160406964,8.755863457777625e-05,0.0001255863501797324,0.0,0.0,0
FWX Derivatives,983041,924837.5666666667,783017.7,0.17246953256862183,0.5703984112814143,-0.043171760554169665,0.00010354294585851742,6.970698084608901e-05,7.040110866207952e-05,0.0,0.0,0
Sudo Finance,789880.2857142857,997340.4666666667,783412.588888889,-0.4547275384209081,0.27002008714262,4.180262844190887,8.319747768244107e-05,7.517167912797388e-05,7.043661311565205e-05,0.0,0.0,0
zkEra Finance,597247.5714285715,622266.3,311778,-0.21685508177559143,2.7516891956392113,4.491656543511562,6.290762333672715e-05,4.690153884168563e-05,2.8031954905292473e-05,0.0,0.0,0
BMX Classic Perps,507730.71428571426,700068.7,907073.5777777778,-0.43269767946700205,-0.22726721832901242,1.6075713859390575,5.34788822236225e-05,5.276567174680415e-05,8.155497061386298e-05,0.0,0.0,0
Tradoor,499219.71428571426,901306.9,421062.86666666664,-0.6762700714773457,2.8824015655267092,-0.6157175262255685,5.25824251967011e-05,6.793342428897284e-05,3.785775548849879e-05,0.0,0.0,0
Pingu Exchange,459607,1.5973547e+06,5.290384e+06,-0.861600233467541,0.1578673788905527,1.4009190904369044,4.8410048733669924e-05,0.00012039603222285874,0.000475658339330167,0.0,0.0,0
Thetis Perps,459021.28571428574,2.8300846333333333e+06,4.244302819277109e+06,-0.7715463144372338,-0.6154972465535092,0.0,4.834835590236963e-05,0.00021330951773467557,0.0003816051973980897,0.0,0.0,0
THENA ALPHA,456194,711349.3333333334,751266.6111111111,-0.2350917703137258,0.13363617843584574,-0.015419102411463171,4.805056009157349e-05,5.36159171520947e-05,6.75463687768815e-05,0.0,0.0,0
BMX Freestyle,318679.14285714284,782190,917527.7666666667,-0.5714872147535299,0.009025141370030725,-0.5055298621164966,3.35662268766978e-05,5.895532936072238e-05,8.24949065667036e-05,0.0,0.0,0
KTX Perps,278005.4285714286,111602.33333333333,65550.43333333333,2.4662474952130737,7.251680862810048,-0.9965258481560221,2.928209610682094e-05,8.411706003773753e-06,5.8936383940572475e-06,1.1039127410886701E-1,0.0,2.5183641625266667e+06
Cyberperp,250387.42857142858,172869.8,858830.7222222222,-0.3533256073853274,-0.9032751925695208,28.911549453010053,2.6373113593659703e-05,1.3029565700817197e-05,7.7217456256096e-05,0.0,0.0,0
El Dorado Exchange,209662.57142857142,163469.56666666668,1.4269698555555556e+06,3.00075782357431,-0.6143213075911529,-0.9270511630951969,2.208359598631808e-05,1.2321050055981152e-05,0.00012829883648668298,0.0,0.0,0
Level Perps,208968.2857142857,814111.9333333333,787511.2111111111,-0.8134754654321281,0.008473314435660925,-0.20611149131964304,2.2010467410679193e-05,6.136135359204429e-05,7.080512017294012e-05,0.0,0.0,0
Surf Protocol,115881,141695,315369.3,0.7211741465391576,-0.688472686936175,-0.9007595406861367,1.2205655826187166e-05,1.0679854503084362e-05,2.8354848629838066e-05,0.0,0.0,0
SATOSHI PERPS,109124.57142857143,212137.26666666666,130039.92,-0.6437205722881031,29.771735398927557,0.0,1.1494006446590212e-05,1.5989238453594044e-05,1.1691887090583172e-05,0.0,0.0,0
Mars Perps,103367,119364.5,168086.7659574468,-0.3049542860106932,-0.5301853863139053,0.0,1.08875659149083e-05,8.996757068586847e-06,1.511267839134127e-05,0.0,0.0,0
Mango Markets V4 Perps,91995.14285714286,-5.8826798e+06,-1.824509e+06,-1.003610592816352,-28.317356451079625,-8.7972898870924,9.689777024665012e-06,-0.00044339012916640256,-0.00016404157449306962,0.0,0.0,0
ImmortalX,64504.28571428572,78184.1,90240.21111111112,-0.39081877151892586,0.018318260952620784,-0.09179323672923767,6.7941863700055485e-06,5.892902448601561e-06,8.11349591218989e-06,0.0,0.0,0
AnyHedge,59299.57142857143,497087.93333333335,416745.3333333333,-0.9667952231171552,-0.09050624774496423,0.7154436848165835,6.245977852258307e-06,3.746657823662726e-05,3.746956613677386e-05,0.0,0.0,0
Surge Trade,48888.28571428572,203904.16666666666,358998.9222222222,-0.7387265919890549,-0.4561070365169938,-0.03028302254876367,5.149365205347505e-06,1.5368692138555802e-05,3.227758725369311e-05,0.0,0.0,0
AshPerp,48600.142857142855,35161.933333333334,36622.811111111114,1.398653317351759,0.3821949327546988,0.08251144579296403,5.1190153417541635e-06,2.6502299449320876e-06,3.2927563509026e-06,0.0,0.0,0
