token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
_T-WBTC,3.1896437171785545e+07,532,3.917965367175972e+07,-0.18589282490834877,2.2618626064144772e+08,2114,3.4932682706298685e+08,-0.35250818683712415,1.5231225544973967e+09,5458,1.1631376532390175e+09,0.30949466751069454
_e-_T,7.917667885421751e+07,200,3.2850418089492388e+07,1.4102183003735698,2.1094267324258703e+08,750,2.233862508666758e+08,-0.055704312936947484,7.36299286811736e+08,2716,8.727415774617147e+08,-0.15633756219889064
_C-_e,7.255823673160295e+07,169,3.658450033292607e+07,0.9833053908433593,1.7897908866030195e+08,578,2.3539429748007408e+08,-0.23966259770820328,8.957053976232727e+08,2413,7.329312615629615e+08,0.22208649650609602
tBTC-WBTC,5.2727761483716145e+06,110,2.9469837490046583e+07,-0.8210788861610624,1.3459110123812568e+08,330,5.683143919106225e+07,1.3682507983942191,3.3929810530118966e+08,693,2.126346160185306e+08,0.5956861194774637
sDAI-s_e,1.5375527430962395e+07,52,7.462840906823874e+06,1.060278066078471,9.389975239970042e+07,192,1.0639833715976425e+08,-0.11746973772058451,5.1281849008546007e+08,680,6.68510979242053e+08,-0.23289443852233302
DAI-WETH,1.5007070710002972e+07,711,1.1127013064590065e+07,0.34870612831044195,9.287263627293758e+07,2821,1.2270175544141267e+08,-0.24310262767770935,3.3756338660235286e+08,8147,1.5796105739830023e+08,1.137003842353269
rETH-WETH,9.829987835777778e+06,195,1.69280680703745e+07,-0.4193083466517329,9.041789869674666e+07,854,9.406771696769212e+07,-0.03879990275727646,3.2779969425416464e+08,2454,2.4578888342620096e+08,0.3336636290655828
LINK-WETH,1.4795555595287839e+07,460,1.2273598531632092e+07,0.20547821057989157,7.9248616618517e+07,2044,2.065059507551445e+08,-0.6162405183544438,7.04341132532646e+08,7887,6.140406283809e+08,0.14705949407590493
aEth_T-WBTC,0,0,5.823205130017055e+07,-1,7.769966007392964e+07,43,1.8832102798250675e+07,3.1259152472950182,1.6524630030161107e+08,49,5.1733411198187515e+07,2.194189141492384
SPX-WETH,8.754360786950184e+06,876,7.543168648248857e+06,0.16056808420722568,7.127430263602671e+07,3996,8.679253677098893e+07,-0.1787968725457199,4.120990051209223e+08,13328,3.0506103269997585e+08,0.350873959461801
ONDO-WETH,1.008611208968047e+07,749,4.625351357076211e+06,1.1806153329843745,6.522511004949943e+07,4401,7.134158248675826e+07,-0.085735026110391,2.754798505190944e+08,13215,1.5295250520995662e+08,0.8010809966201308
_0-_C,1.5864711899768202e+07,163,6.12053087742298e+06,1.5920483398407366,6.496358971355086e+07,571,1.1616946218086882e+08,-0.4407859992292425,7.728753791687704e+08,2054,2.618386988558333e+09,-0.7048276734699516
AAVE-WETH,6.385873689908975e+06,299,1.1457092507585648e+07,-0.44262702900574996,6.47008394047218e+07,1270,1.2562002809484135e+08,-0.48494805815619163,3.837666380925903e+08,4042,2.298020390513232e+08,0.6699879586659417
PY_-_C,9.897121744248055e+06,97,6.555588409181104e+06,0.5097228694814232,5.287702401301523e+07,350,1.784961334664818e+07,1.9623624325142337,9.65603576734761e+07,838,6.658181644574536e+07,0.4502511770936583
GHO-_C,8.139293060853603e+06,117,1.5631456010893853e+07,-0.4793003892163866,5.235248614682336e+07,484,5.904861326988562e+07,-0.11340024349864349,1.6506199427167866e+08,1179,8.954019827813558e+07,0.8434401246125496
PEPE-WETH,1.808864419775269e+07,1038,4.991447409526572e+06,2.6239276333412,4.913514421525883e+07,4103,7.271367102175747e+07,-0.32426538882135997,2.588942435968869e+08,16222,2.6001031854998648e+08,-0.004292425621120168
UNI-WETH,1.3159718199021896e+07,379,9.560854252456669e+06,0.3764165681785701,4.884081457876322e+07,1356,1.321683601502191e+08,-0.6304651542679955,3.5389262585651004e+08,3821,3.9597076138195586e+08,-0.10626576411498471
DAI-_C,5.304987925190294e+06,307,4.861777001040186e+06,0.09116233098623869,4.866246115923085e+07,1345,1.5068432851872686e+08,-0.6770569200022473,6.016816058948741e+08,4075,7.835391716254383e+08,-0.23209760573080718
7AΩ∞-WETH,8.746491412193103e+06,2,1.1274894148918446e+07,-0.22425068504681994,4.843823539242213e+07,2,0,Infinity,4.843823539242213e+07,2,0,Infinity
LDO-WETH,7.411471196741265e+06,211,5.231199655622032e+06,0.41678232234475515,4.728683035707644e+07,640,7.463011048595852e+07,-0.3663840231621613,1.9149334485613966e+08,1521,5.599478751602955e+07,2.4198423344551694
SOL-WETH,5.320972598139937e+06,361,8.737140718202537e+06,-0.39099383084737555,4.664334185408498e+07,1880,8.146466610838193e+07,-0.42744082702027014,3.827946913158469e+08,10410,1.6660216045710483e+08,1.2976574269239762
SKY-_S,5.603679284908814e+06,63,6.256288563672017e+06,-0.10431252844580519,4.216569789776539e+07,104,8.246588564434381e+07,-0.4886892007730779,2.423501294334166e+08,186,2.0161165897449398e+08,0.2020640605118798
crv_-_C,5.336895333501784e+06,163,8.018579458200033e+06,-0.334433815699847,4.000309930730369e+07,692,7.008178013803305e+07,-0.4291940183523649,2.5696823214460725e+08,2166,2.176608141522947e+08,0.18059023690322878
_C-USR,8.674775180504907e+06,311,9.206066795165166e+06,-0.05771103191856946,3.876083552625397e+07,2358,7.417736513984248e+07,-0.4774573691963807,4.875172035467325e+08,6738,8.047753764199178e+08,-0.39421953276518434
AAVE-wstETH,3.282353477425889e+06,16,6.623651342014681e+06,-0.5044495387905619,3.582144811857713e+07,54,7.71395278106314e+07,-0.5356278533812828,3.020228397858316e+08,209,3.670450957803004e+08,-0.17715059196265281
ETH-TBTC,0,0,0,NaN,3.4991696852564394e+07,99,0,Infinity,3.4991696852564394e+07,99,0,Infinity
ENA-WETH,5.2988503937118e+06,389,5.3022855558884e+06,-0.0006478644238211147,3.428724653620902e+07,1679,6.155275106939225e+07,-0.4429615908222385,2.3062259023313248e+08,5955,2.825598008017606e+08,-0.1838096233832867
MAGA-WETH,5.211484071234804e+06,435,3.8585637434032666e+06,0.35062795843259975,3.3151677389423467e+07,1383,3.49190601536024e+07,-0.05061369797481795,1.2999294689069074e+08,7460,1.2736690762781903e+08,0.020617908621486717
