exchange,symbol,funding_rate,predicted_rate,next_funding_time,mark_price,payment_interval,annualized_rate
Binance,EIGEN,5e-05,0.0,2025-01-29 01:30:00,2.53973146,8,5.475
Binance,ENA,-0.00034678,0.0,2025-01-29 01:30:00,0.70569465,8,-37.97241
Binance,ENJ,0.0001,0.0,2025-01-29 05:30:00,0.1453888,8,10.95
Binance,ENS,4.564e-05,0.0,2025-01-29 05:30:00,31.78917222,8,4.997579999999999
Binance,EOS,0.0001,0.0,2025-01-29 05:30:00,0.763,8,10.95
Binance,ETC,0.0001,0.0,2025-01-29 05:30:00,25.51534556,8,10.95
Binance,ETH,7.784e-05,0.0,2025-01-29 05:30:00,3147.24502381,8,8.52348
Binance,ETHFI,5e-05,0.0,2025-01-29 01:30:00,1.51178028,8,5.475
Binance,ETHW,5e-05,0.0,2025-01-29 01:30:00,2.42158327,8,5.475
Binance,FARTCOIN,5e-05,0.0,2025-01-29 01:30:00,0.89068267,8,5.475
Binance,FET,0.0001,0.0,2025-01-29 05:30:00,1.02962044,8,10.95
Binance,FIDA,5e-05,0.0,2025-01-29 01:30:00,0.19124272,8,5.475
Binance,FIL,0.0001,0.0,2025-01-29 05:30:00,4.50282073,8,10.95
Binance,FIO,5e-05,0.0,2025-01-29 01:30:00,0.03081878,8,5.475
Binance,FLM,5e-05,0.0,2025-01-29 01:30:00,0.05107616,8,5.475
Binance,FLOW,0.0001,0.0,2025-01-29 05:30:00,0.633,8,10.95
Binance,FLUX,5e-05,0.0,2025-01-29 01:30:00,0.46180656,8,5.475
Binance,FTM,0.0001,0.0,2025-01-29 05:30:00,0.6994,8,10.95
Binance,FTT,0.0001,0.0,2025-01-29 05:30:00,1.98360355,8,10.95
Binance,FXS,0.0001,0.0,2025-01-29 05:30:00,2.41120788,8,10.95
Binance,G,5e-05,0.0,2025-01-29 01:30:00,0.02661867,8,5.475
Binance,GALA,0.0001,0.0,2025-01-29 05:30:00,0.02863192,8,10.95
