exchange,symbol,funding_rate,next_funding_time,mark_price,predicted_rate,payment_interval,annualized_rate
Hyperliquid,W,0.0,2025-01-28 23:30:56.897903,0.0,,1,0.0
Hyperliquid,PANDORA,0.0,2025-01-28 23:30:56.897905,0.0,,1,0.0
Hyperliquid,STRK,0.0,2025-01-28 23:30:56.897907,0.0,,1,0.0
Hyperliquid,PIXEL,0.0,2025-01-28 23:30:56.897920,0.0,,1,0.0
Hyperliquid,AI,0.0,2025-01-28 23:30:56.897922,0.0,,1,0.0
Hyperliquid,TAO,0.0,2025-01-28 23:30:56.897924,0.0,,1,0.0
Hyperliquid,AR,0.0,2025-01-28 23:30:56.897926,0.0,,1,0.0
Hyperliquid,MYRO,0.0,2025-01-28 23:30:56.897928,0.0,,1,0.0
Hyperliquid,kFLOKI,0.0,2025-01-28 23:30:56.897930,0.0,,1,0.0
Hyperliquid,BOME,0.0,2025-01-28 23:30:56.897932,0.0,,1,0.0
Hyperliquid,ETHFI,0.0,2025-01-28 23:30:56.897935,0.0,,1,0.0
Hyperliquid,ENA,0.0,2025-01-28 23:30:56.897937,0.0,,1,0.0
Hyperliquid,MNT,0.0,2025-01-28 23:30:56.897939,0.0,,1,0.0
Hyperliquid,TNSR,0.0,2025-01-28 23:30:56.897941,0.0,,1,0.0
Hyperliquid,SAGA,0.0,2025-01-28 23:30:56.897943,0.0,,1,0.0
Hyperliquid,MERL,0.0,2025-01-28 23:30:56.897945,0.0,,1,0.0
Hyperliquid,HBAR,0.0,2025-01-28 23:30:56.897947,0.0,,1,0.0
Hyperliquid,POPCAT,0.0,2025-01-28 23:30:56.897949,0.0,,1,0.0
Hyperliquid,OMNI,0.0,2025-01-28 23:30:56.897952,0.0,,1,0.0
Hyperliquid,EIGEN,0.0,2025-01-28 23:30:56.897954,0.0,,1,0.0
Hyperliquid,REZ,0.0,2025-01-28 23:30:56.897956,0.0,,1,0.0
Hyperliquid,NOT,0.0,2025-01-28 23:30:56.897958,0.0,,1,0.0
Hyperliquid,TURBO,0.0,2025-01-28 23:30:56.897960,0.0,,1,0.0
Hyperliquid,BRETT,0.0,2025-01-28 23:30:56.897962,0.0,,1,0.0
Hyperliquid,IO,0.0,2025-01-28 23:30:56.897964,0.0,,1,0.0
Hyperliquid,ZK,0.0,2025-01-28 23:30:56.897966,0.0,,1,0.0
Hyperliquid,BLAST,0.0,2025-01-28 23:30:56.897968,0.0,,1,0.0
Hyperliquid,LISTA,0.0,2025-01-28 23:30:56.897970,0.0,,1,0.0
Hyperliquid,MEW,0.0,2025-01-28 23:30:56.897972,0.0,,1,0.0
Hyperliquid,RENDER,0.0,2025-01-28 23:30:56.897974,0.0,,1,0.0
Hyperliquid,kDOGS,0.0,2025-01-28 23:30:56.897976,0.0,,1,0.0
Hyperliquid,POL,0.0,2025-01-28 23:30:56.897978,0.0,,1,0.0
Hyperliquid,CATI,0.0,2025-01-28 23:30:56.897980,0.0,,1,0.0
Hyperliquid,CELO,0.0,2025-01-28 23:30:56.897983,0.0,,1,0.0
Hyperliquid,HMSTR,0.0,2025-01-28 23:30:56.897985,0.0,,1,0.0
Hyperliquid,SCR,0.0,2025-01-28 23:30:56.897987,0.0,,1,0.0
Hyperliquid,NEIROETH,0.0,2025-01-28 23:30:56.897989,0.0,,1,0.0
Hyperliquid,kNEIRO,0.0,2025-01-28 23:30:56.897991,0.0,,1,0.0
Hyperliquid,GOAT,0.0,2025-01-28 23:30:56.897993,0.0,,1,0.0
Hyperliquid,MOODENG,0.0,2025-01-28 23:30:56.897995,0.0,,1,0.0
Hyperliquid,GRASS,0.0,2025-01-28 23:30:56.897997,0.0,,1,0.0
Hyperliquid,PURR,0.0,2025-01-28 23:30:56.897999,0.0,,1,0.0
Hyperliquid,PNUT,0.0,2025-01-28 23:30:56.898001,0.0,,1,0.0
Hyperliquid,XLM,0.0,2025-01-28 23:30:56.898003,0.0,,1,0.0
Hyperliquid,CHILLGUY,0.0,2025-01-28 23:30:56.898005,0.0,,1,0.0
Hyperliquid,SAND,0.0,2025-01-28 23:30:56.898007,0.0,,1,0.0
Hyperliquid,IOTA,0.0,2025-01-28 23:30:56.898009,0.0,,1,0.0
Hyperliquid,ALGO,0.0,2025-01-28 23:30:56.898054,0.0,,1,0.0
Hyperliquid,HYPE,0.0,2025-01-28 23:30:56.898057,0.0,,1,0.0
Hyperliquid,ME,0.0,2025-01-28 23:30:56.898059,0.0,,1,0.0
Hyperliquid,MOVE,0.0,2025-01-28 23:30:56.898067,0.0,,1,0.0
Hyperliquid,VIRTUAL,0.0,2025-01-28 23:30:56.898069,0.0,,1,0.0
Hyperliquid,PENGU,0.0,2025-01-28 23:30:56.898071,0.0,,1,0.0
Hyperliquid,USUAL,0.0,2025-01-28 23:30:56.898073,0.0,,1,0.0
Hyperliquid,FARTCOIN,0.0,2025-01-28 23:30:56.898075,0.0,,1,0.0
Hyperliquid,AI16Z,0.0,2025-01-28 23:30:56.898078,0.0,,1,0.0
Hyperliquid,AIXBT,0.0,2025-01-28 23:30:56.898080,0.0,,1,0.0
Hyperliquid,ZEREBRO,0.0,2025-01-28 23:30:56.898082,0.0,,1,0.0
Hyperliquid,BIO,0.0,2025-01-28 23:30:56.898084,0.0,,1,0.0
Hyperliquid,GRIFFAIN,0.0,2025-01-28 23:30:56.898086,0.0,,1,0.0
Hyperliquid,SPX,0.0,2025-01-28 23:30:56.898088,0.0,,1,0.0
Hyperliquid,S,0.0,2025-01-28 23:30:56.898090,0.0,,1,0.0
Hyperliquid,MORPHO,0.0,2025-01-28 23:30:56.898093,0.0,,1,0.0
Hyperliquid,TRUMP,0.0,2025-01-28 23:30:56.898095,0.0,,1,0.0
Hyperliquid,MELANIA,0.0,2025-01-28 23:30:56.898097,0.0,,1,0.0
Hyperliquid,ANIME,0.0,2025-01-28 23:30:56.898099,0.0,,1,0.0
Hyperliquid,VINE,0.0,2025-01-28 23:30:56.898102,0.0,,1,0.0
Hyperliquid,VVV,0.0,2025-01-28 23:30:56.898104,0.0,,1,0.0
