exchange,symbol,funding_rate,next_funding_time,mark_price,payment_interval,predicted_rate,annualized_rate
Hyperliquid,MOVE,-0.00020581,2025-01-28 23:44:33.069672,0.81731,1,,-180.28956
Hyperliquid,VIRTUAL,1.25e-05,2025-01-28 23:44:33.069674,1.9717,1,,10.95
Hyperliquid,PENGU,-3.544e-05,2025-01-28 23:44:33.069676,0.017374,1,,-31.045440000000003
Hyperliquid,USUAL,-6.126e-05,2025-01-28 23:44:33.069678,0.31049,1,,-53.66376
Hyperliquid,FARTCOIN,6.6e-05,2025-01-28 23:44:33.069680,0.92573,1,,57.816
Hyperliquid,AI16Z,1.25e-05,2025-01-28 23:44:33.069682,0.61976,1,,10.95
Hyperliquid,AIXBT,1.25e-05,2025-01-28 23:44:33.069684,0.47512,1,,10.95
Hyperliquid,ZEREBRO,1.25e-05,2025-01-28 23:44:33.069687,0.098642,1,,10.95
Hyperliquid,BIO,1.25e-05,2025-01-28 23:44:33.069688,0.22985,1,,10.95
Hyperliquid,GRIFFAIN,1.25e-05,2025-01-28 23:44:33.069690,0.29558,1,,10.95
Hyperliquid,SPX,1.25e-05,2025-01-28 23:44:33.069692,1.1038,1,,10.95
Hyperliquid,S,1.25e-05,2025-01-28 23:44:33.069694,0.46284,1,,10.95
Hyperliquid,MORPHO,1.25e-05,2025-01-28 23:44:33.069697,3.2518,1,,10.95
Hyperliquid,TRUMP,1.25e-05,2025-01-28 23:44:33.069699,29.481,1,,10.95
Hyperliquid,MELANIA,2.605e-05,2025-01-28 23:44:33.069701,2.4375,1,,22.819799999999997
Hyperliquid,ANIME,8.38e-06,2025-01-28 23:44:33.069703,0.048853,1,,7.340879999999999
Hyperliquid,VINE,1.25e-05,2025-01-28 23:44:33.069705,0.24045,1,,10.95
Hyperliquid,VVV,3.636e-05,2025-01-28 23:44:33.069707,11.918,1,,31.851359999999996
